stitle,xAddress,GTag_longitude,GTag_latitude
公有大龍市場,臺北市重慶北路三段347號,121.514073,25.074784
公有北投市場,臺北市北投區新市街30號,121.502735,25.132673
公有長春市場,臺北市中山區長春路299號,121.542265,25.054735
公有建國市場,臺北市中山區伊通街94巷4號,121.534695,25.052854
公有中山市場,臺北市中山區長安西路3號,121.521201,25.050163
公有興隆市場,臺北市文山區興隆路二段97號,121.547452,24.999739
公有木柵市場,臺北市文山區保儀路13巷3號,121.569186,24.988496
公有河濱二商場,臺北市萬華區環河南路一段328號(286至340號),121.498641,25.040889
公有環南市場,臺北市萬華區環河南路二段245號,121.48978,25.029852
公有永吉市場,臺北市信義區永吉路278巷1弄30號,121.575249,25.044885
公有光復市場,臺北市信義區仁愛路四段496巷19號,121.560453,25.036372
公有永春市場,臺北市信義區松山路294號,121.577648,25.043016
公有松山市場,臺北市松山區八德路四段679號,121.576132,25.050218
公有龍城市場,臺北市松山區光復北路190巷39號,121.554216,25.054682
公有南松市場,臺北市松山區塔悠路40號,121.570899,25.050747
公有中崙市場,臺北市松山區八德路三段76號,121.552826,25.047865
公有西湖市場,臺北市內湖區內湖路一段285號1、2樓,121.566599,25.082411
公有錦安市場,臺北市大安區永康街60號,121.52939,25.0285
公有信義市場,臺北市大安區信義路三段107號,121.539057,25.034002
公有安東市場,臺北市大安區瑞安街75號,121.54093,25.028117
公有成德市場,臺北市南港區同德路100號1樓,121.586755,25.046147
公有中研市場,臺北市南港區研究院路二段70巷12號,121.614546,25.045514
公有新生市場,臺北市中正區新生南路一段134之1號,121.532497,25.03674
公有華山市場,臺北市中正區忠孝東路一段108號,121.524772,25.044253
公有南門市場,臺北市大安區杭州南路二段55號,121.52293,25.03265
公有水源市場,臺北市中正區羅斯福路四段92號,121.53501,25.01376
公有東門市場,臺北市中正區信義路二段81號,121.526785,25.034542
公有幸安市場,臺北市中正區濟南路二段46號,121.530902,25.040351
公有蘭州市場,臺北市大同區昌吉街55號(55至57號),121.515608,25.066015
公有雙連市場,臺北市大同區民生西路198號,121.516324,25.056975
公有永樂市場,臺北市大同區迪化街一段21號,121.510324,25.0545
中山市場,臺北市中山區中山北路一段110號之1至之8,121.521486,25.050063
公有松江市場,臺北市中山區錦州街222號,121.532186,25.06029
公有八德市場,臺北市中山區八德路二段108之1號,121.537097,25.046023
公有大直市場,臺北市中山區北安路458巷41弄3號,121.545458,25.078665
公有景美市場,臺北市文山區景文街137號,121.541106,24.989878
公有木新市場,臺北市文山區木新路三段310巷4號,121.557222,24.981476
公有士林市場,臺北市士林區基河路101號,121.524165,25.087958
公有士東市場,臺北市士林區士東路100號,121.529276,25.111924
公有龍山商場,臺北市萬華區和平西路三段120號 (萬華區行政中心內 ),121.499812,25.035011
公有河濱一商場,臺北市萬華區環河南路一段4號(2至272號),121.505863,25.048715
公有西寧市場,臺北市萬華區西寧南路4號,121.507045,25.047931
公有西門商場,臺北市萬華區成都路10巷33號,121.506696,25.041722
公有直興市場,臺北市萬華區康定路172巷1號,121.501715,25.039376
公有新富市場,臺北市萬華區三水街70號,121.502177,25.03601
