名稱,地址,X,Y
中山運動中心,臺北市中山區中山北路二段44巷2號,121.5192045,25.0548895
北投運動中心,臺北市北投區石牌路一段39巷100號,121.5073354,25.1126191
中正運動中心,臺北市中正區信義路一段1號,121.5417485,25.0336278
南港運動中心,臺北市南港區玉成街69號,121.5796563,25.0489543
萬華運動中心,臺北市萬華區西寧南路6之1號,121.5053196,25.0474151
士林運動中心,臺北市士林區士商路1號,121.5201025,25.0895603
內湖運動中心,臺北市內湖區洲子街12號,121.5730155,25.0781209
信義運動中心,臺北市信義區松勤街100號,121.5644689,25.0318152
松山運動中心,臺北市松山區敦化北路1號,121.5480423,25.0486118
大同運動中心,臺北市大同區大龍街51號,121.513951,25.0648771
大安運動中心,臺北市大安區辛亥路3段55號,121.5434473,25.0207817
文山運動中心,臺北市文山區興隆路三段222號,121.5574843,24.9970214
