CASE_T,DISTRICT,CASE_F,LOCATION,GTag_longitude,GTag_latitude,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE
租賃,內湖區,建物,成功路二段317巷1號,121.590931 ,25.069988 ,1100331,土地:建物:1車位:1,二層,014,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040630,100.57,4,2,3,有,無,有,11,1093.77,是,坡道平面1,0,0,,,,,
租賃,內湖區,建物,內湖路三段116號,121.590419 ,25.086694 ,1100406,土地:建物:1車位:,一層,005,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980119,20.82,1,2,1,有,無,無,3,1536.98,否,,0,0,,,,,
買賣,內湖區,房地(土地+建物),成功路二段250巷12弄1號,121.589662 ,25.065891 ,1100404,土地:8建物:1車位:,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690529,28.24,3,1,1,有,無,,1236,43.77,否,,0,0,無,,,,建築物含有：其他增建。
買賣,內湖區,房地(土地+建物),麗山街328巷11號,121.573684 ,25.082810 ,1100408,土地:1建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730720,34.53,3,2,2,有,無,,1703,49.32,否,,0,0,無,,,,建築物含有：頂樓加蓋、其他增建。
買賣,內湖區,房地(土地+建物),內湖路三段60巷12弄1號,121.592165 ,25.088143 ,1100319,土地:1建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681128,24.87,3,2,2,有,無,,934,37.56,否,,0,0,無,,,,建築物含有：其他增建。
租賃,中山區,建物,新生北路一段41號,121.530503 ,25.047764 ,1100319,土地:建物:1車位:,三層,012,辦公商業大樓,商業用,鋼筋混凝土造,0730721,30.34,,,,無,無,有,4,1153.59,否,,0,0,,,,,
租賃,士林區,建物,天母西路16號,121.527947 ,25.118331 ,1100401,土地:建物:1車位:1,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0651106,49.16,3,2,2,有,有,有,7,1527.88,否,坡道平面1,9.89,6000,,,,,續租。
買賣,中山區,房地(土地+建物),龍江路146號,121.540364 ,25.054404 ,1100412,土地:1建物:1車位:,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711210,21.03,,,,無,有,,1430,68,否,,0,0,有,,,,
租賃,中山區,建物,松江路156巷11號,121.531949 ,25.054445 ,1100403,土地:建物:1車位:,一層,004,店面(店鋪),住家用,鋼筋混凝土造,0610831,19.05,1,1,1,有,無,有,5,2687.66,否,,0,0,,,,,含增建或未登記建物。租賃期間含免租金裝潢期。
租賃,中山區,建物,民生東路一段26號,121.523758 ,25.057898 ,1100405,土地:建物:1車位:,七層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0951012,13.11,0,1,1,有,有,有,3,1906.94,否,,0,0,,,,,含增建或未登記建物。
租賃,信義區,建物,吳興街341號,121.566025 ,25.026530 ,1100401,土地:建物:1車位:,一層,004,店面(店鋪),商業用,鋼筋混凝土造,0680801,34.25,,,,無,無,無,5,1459.85,否,,0,0,,,,,續租。
租賃,大安區,房地(土地+建物),忠孝東路三段248巷13弄6號,121.542096 ,25.040350 ,1100331,土地:1建物:1車位:,四層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710313,35.6,,,,無,有,有,4,1235.96,否,,0,0,,,,,
買賣,中山區,房地(土地+建物),新生北路三段61號,121.528054 ,25.065942 ,1100409,土地:4建物:1車位:,六層,010,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0681224,8.69,1,1,1,有,有,,428,49.25,否,,0,0,有,,,,建築物含有：陽台外推。
買賣,內湖區,房地(土地+建物)+車位,成功路五段450巷1號,121.607325 ,25.074286 ,1100410,土地:1建物:1車位:1,七層,014,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881022,50.7,3,2,2,有,有,,3416,67.38,是,坡道平面1,0,250,有,,,,
買賣,中山區,房地(土地+建物),新生北路三段56巷1號,121.527298 ,25.065387 ,1100324,土地:1建物:1車位:,二層,012,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700410,11.85,1,1,1,有,有,,610,51.48,否,,0,0,有,,,,
租賃,松山區,建物,南京東路五段236號,121.566002 ,25.051096 ,1100401,土地:建物:1車位:,五層,018,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,29.64,2,1,1,有,有,有,5,1556.78,否,,0,0,,,,,含管理費、稅金或水電等費用。
買賣,內湖區,房地(土地+建物),成功路四段61巷25弄11號,121.592429 ,25.080396 ,1100402,土地:1建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691203,37.11,8,0,8,有,無,,1800,48.5,否,,0,0,無,,,,建築物含有：陽台外推、頂樓加蓋。
租賃,中山區,建物,民生東路三段88巷1號,121.543145 ,25.057299 ,1100405,土地:建物:1車位:,四層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0750314,33.1,3,2,2,有,有,有,4,1208.46,否,,0,0,,,,,附傢俱家電、含管理費
租賃,北投區,建物,中央北路四段515巷36號,121.469350 ,25.126640 ,1100331,土地:建物:1車位:,九層,014,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021129,31.4,2,2,2,有,無,有,4,1242.04,否,,0,0,,,,,
租賃,北投區,房地(土地+建物),崇仁路一段51號,121.501458 ,25.127105 ,1100402,土地:1建物:1車位:,一層,003,店面(店鋪),住家用,加強磚造,0590803,26.91,1,1,1,有,無,無,3,1226.31,否,,0,0,,,,,
租賃,中山區,建物,林森北路351號,121.525645 ,25.056923 ,1100401,土地:建物:1車位:1,十三層,024,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1021101,24.61,2,2,1,有,有,有,6,2559.93,是,坡道平面1,0,0,,,,,續租。含管理費、稅金或水電等費用。
租賃,中山區,建物,中山北路二段65巷6號,121.523841 ,25.057034 ,1100401,土地:建物:1車位:,六層,014,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,20.98,3,1,1,有,有,有,3,1429.93,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
買賣,中山區,房地(土地+建物),新生北路二段66號,121.527210 ,25.056114 ,1100407,土地:1建物:1車位:,四層,012,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690721,8.62,1,1,1,有,有,,485,56.26,否,,0,0,有,,,,
租賃,中山區,建物,林森北路361號,121.525844 ,25.057400 ,1100406,土地:建物:1車位:,十五層,018,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,31.43,1,2,1,有,有,有,6,1909,否,,0,0,,,,,含管理費、稅金或水電等費用。
買賣,內湖區,房地(土地+建物)+車位,成功路四段176號,121.593112 ,25.083124 ,1100415,土地:1建物:1車位:2,六層,029,大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,93.58,3,2,2,有,有,,6588,82.51,否,坡道平面2,17.61,320,有,,,,裝潢戶
租賃,中山區,建物,長春路258巷26號,121.538976 ,25.053567 ,1100331,土地:建物:1車位:,二層,010,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0910816,16.97,2,1,1,有,有,有,3,1591.04,否,,0,0,,,,,續租。含管理費、稅金或水電等費用。
買賣,內湖區,房地(土地+建物),康樂街136巷15弄16號,121.618036 ,25.072258 ,1100316,土地:3建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721103,28.86,3,2,2,有,無,,1090,37.77,否,,0,0,無,,,,
買賣,內湖區,房地(土地+建物),東湖路113巷96號,121.616674 ,25.072275 ,1100321,土地:1建物:1車位:,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770303,34.75,3,2,2,有,有,,1584,45.58,否,,0,0,無,,,,建築物含有：陽台外推。
租賃,中山區,建物,新生北路二段68巷6號,121.526669 ,25.056690 ,1100401,土地:建物:1車位:,七層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971229,15.95,1,1,1,有,有,有,3,1880.88,否,,0,0,,,,,租賃範圍不含車位，且無法區分車位面積。續租。含管理費、稅金或水電等費用。
租賃,北投區,建物,光明路241號,121.504121 ,25.136505 ,1100405,土地:建物:1車位:1,十八層,019,套房(1房(1廳)1衛),住家用,鋼筋混凝土造,0980818,36.91,1,1,1,有,有,有,3,812.79,是,坡道平面1,12.12,0,,,,,
買賣,中山區,房地(土地+建物)+車位,樂群二路296號,121.562392 ,25.080041 ,1100327,土地:1建物:1車位:1,七層,011,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970603,21.65,,,,無,有,,1550,71.59,是,坡道機械1,5.74,0,有,,,,
買賣,內湖區,房地(土地+建物),金湖路136號,121.598888 ,25.080116 ,1100329,土地:1建物:1車位:,二十一層,026,大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,102.58,4,2,3,有,有,,10443,101.8,否,,0,0,有,,,,
租賃,松山區,房地(土地+建物),民生東路四段112巷26號,121.554395 ,25.056356 ,1100402,土地:1建物:1車位:,見其他登記事項,005,店面(店鋪),見使用執照,鋼筋混凝土造,0710320,46.88,0,0,0,有,無,有,6,1343.86,否,,0,0,,,,,
買賣,內湖區,房地(土地+建物),民權東路六段280巷155弄211號,121.609773 ,25.068511 ,1100403,土地:1建物:1車位:,"八層,九層",011,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860710,13.98,2,1,1,有,有,,909,65.02,否,,0,0,有,,,,建築物含有：陽台外推、夾層、其他增建。
買賣,中山區,房地(土地+建物)+車位,農安街6號,121.523267 ,25.064785 ,1100408,土地:1建物:1車位:1,四層,014,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980622,23.26,1,1,1,有,有,,1380,59.33,是,坡道平面1,0,0,有,,,,
租賃,中正區,房地(土地+建物),南海路46號,121.515584 ,25.032070 ,1100405,土地:1建物:1車位:,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961017,18.48,2,1,1,有,有,有,3,1731.6,否,,0,0,,,,,
