CASE_T,CASE_F,LOCATION,X,Y,floor,BUITYPE,FDATE,FAREA,TPRICE,UPRICE
租賃,建物,內湖區成功路二段317巷1號,121.590931,25.069988,14,住宅大樓(11層含以上有電梯),1040630,100.57,11,1093.77
租賃,建物,內湖區內湖路三段116號,121.590419,25.086694,5,店面(店鋪),980119,20.82,3,1536.98
買賣,房地(土地+建物),內湖區成功路二段250巷12弄1號,121.589662,25.065891,4,公寓(5樓含以下無電梯),690529,28.24,1236,43.77
買賣,房地(土地+建物),內湖區麗山街328巷11號,121.573684,25.08281,5,公寓(5樓含以下無電梯),730720,34.53,1703,49.32
買賣,房地(土地+建物),內湖區內湖路三段60巷12弄1號,121.592165,25.088143,5,公寓(5樓含以下無電梯),681128,24.87,934,37.56
租賃,建物,士林區天母西路16號,121.527947,25.118331,7,華廈(10層含以下有電梯),651106,49.16,7,1527.88
買賣,房地(土地+建物),中山區龍江路146號,121.540364,25.054404,7,華廈(10層含以下有電梯),711210,21.03,1430,68
租賃,建物,中山區松江路156巷11號,121.531949,25.054445,4,店面(店鋪),610831,19.05,5,2687.66
租賃,建物,中山區民生東路一段26號,121.523758,25.057898,12,住宅大樓(11層含以上有電梯),951012,13.11,3,1906.94
租賃,建物,信義區吳興街341號,121.566025,25.02653,4,店面(店鋪),680801,34.25,5,1459.85
租賃,房地(土地+建物),大安區忠孝東路三段248巷13弄6號,121.542096,25.04035,7,華廈(10層含以下有電梯),710313,35.6,4,1235.96
買賣,房地(土地+建物),中山區新生北路三段61號,121.528054,25.065942,10,華廈(10層含以下有電梯),681224,8.69,428,49.25
買賣,房地(土地+建物)+車位,內湖區成功路五段450巷1號,121.607325,25.074286,14,大樓(11層含以上有電梯),881022,50.7,3416,67.38
買賣,房地(土地+建物),中山區新生北路三段56巷1號,121.527298,25.065387,12,大樓(11層含以上有電梯),700410,11.85,610,51.48
租賃,建物,松山區南京東路五段236號,121.566002,25.051096,18,住宅大樓(11層含以上有電梯),980331,29.64,5,1556.78
買賣,房地(土地+建物),內湖區成功路四段61巷25弄11號,121.592429,25.080396,5,公寓(5樓含以下無電梯),691203,37.11,1800,48.5
租賃,建物,中山區民生東路三段88巷1號,121.543145,25.057299,15,住宅大樓(11層含以上有電梯),750314,33.1,4,1208.46
租賃,建物,北投區中央北路四段515巷36號,121.46935,25.12664,14,住宅大樓(11層含以上有電梯),1021129,31.4,4,1242.04
租賃,房地(土地+建物),北投區崇仁路一段51號,121.501458,25.127105,3,店面(店鋪),590803,26.91,3,1226.31
租賃,建物,中山區林森北路351號,121.525645,25.056923,24,住宅大樓(11層含以上有電梯),1021101,24.61,6,2559.93
租賃,建物,中山區中山北路二段65巷6號,121.523841,25.057034,14,住宅大樓(11層含以上有電梯),901112,20.98,3,1429.93
買賣,房地(土地+建物),中山區新生北路二段66號,121.52721,25.056114,12,大樓(11層含以上有電梯),690721,8.62,485,56.26
租賃,建物,中山區林森北路361號,121.525844,25.0574,18,住宅大樓(11層含以上有電梯),980916,31.43,6,1909
買賣,房地(土地+建物)+車位,內湖區成功路四段176號,121.593112,25.083124,29,大樓(11層含以上有電梯),1070223,93.58,6588,82.51
租賃,建物,中山區長春路258巷26號,121.538976,25.053567,10,華廈(10層含以下有電梯),910816,16.97,3,1591.04
買賣,房地(土地+建物),內湖區康樂街136巷15弄16號,121.618036,25.072258,5,公寓(5樓含以下無電梯),721103,28.86,1090,37.77
買賣,房地(土地+建物),內湖區東湖路113巷96號,121.616674,25.072275,5,公寓(5樓含以下無電梯),770303,34.75,1584,45.58
租賃,建物,中山區新生北路二段68巷6號,121.526669,25.05669,13,住宅大樓(11層含以上有電梯),971229,15.95,3,1880.88
租賃,建物,北投區光明路241號,121.504121,25.136505,19,套房(1房(1廳)1衛),980818,36.91,3,812.79
買賣,房地(土地+建物)+車位,中山區樂群二路296號,121.562392,25.080041,11,大樓(11層含以上有電梯),970603,21.65,1550,71.59
買賣,房地(土地+建物),內湖區金湖路136號,121.598888,25.080116,26,大樓(11層含以上有電梯),1011121,102.58,10443,101.8
