CASE_T,DISTRICT,CASE_F,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,RMNOTE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA
買賣,中山區,房地(土地+建物),林森北路46-50號(雙號),2.09,,1100208,土地:1建物:1車位:,五層,012,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0671028,23.23,0,1,1,有,有,,1320,56.82,否,,0,0,,有,,,
買賣,內湖區,房地(土地+建物)+車位,成功路四段176-180號(雙號),5.97,,1100201,土地:1建物:1車位:1,五層,029,大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,82.91,3,2,2,有,有,,6280,82.18,否,坡道平面1,8.8,190,裝潢戶,有,,,
買賣,內湖區,房地(土地+建物),安泰街1-5號(雙號),4.55,,1100227,土地:2建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741214,26.11,3,2,2,有,無,,1160,44.43,否,,0,0,建築物含有：頂樓加蓋。,無,,,
買賣,中山區,房地(土地+建物),新生北路一段51-55號(雙號),1.21,,1100223,土地:1建物:1車位:,三層,014,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770613,11.79,1,1,1,有,有,,760,64.46,否,,0,0,,有,,,
買賣,內湖區,房地(土地+建物)+車位,成功路五段46-50號(單號),5.47,,1100201,土地:2建物:1車位:1,三層,011,大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0891019,30.5,2,2,1,有,有,,1768,64.67,否,升降機械1,5.48,150,建築物含有：其他增建。,有,,,
買賣,內湖區,房地(土地+建物)+車位,文德路210巷30弄81-85號(單號),8.75,,1070126,土地:1建物:1車位:1,三層,025,大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1091224,68.31,3,2,2,有,無,,4680,72.79,否,坡道平面1,8,290,,有,,,
買賣,中山區,房地(土地+建物),農安街16-20號(單號),1.51,,1100228,土地:1建物:1車位:,八層,014,大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920618,13.96,2,1,1,有,有,,1050,75.21,否,,0,0,建築物含有：陽台外推、夾層。,有,,,
買賣,中山區,房地(土地+建物),民生東路二段81-85號(單號),2.6,,1100311,土地:1建物:1車位:,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690314,14.11,1,1,1,有,有,,720,51.03,否,,0,0,建築物含有：陽台外推。,有,,,
買賣,中山區,房地(土地+建物),敬業三路161-165號(雙號),14.24,,1100308,土地:1建物:1車位:,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890628,47.1,3,2,2,有,有,,2868,60.89,否,,0,0,,有,,,
買賣,中山區,房地(土地+建物),龍江路443巷1-5號(單號),6.23,,1100127,土地:2建物:1車位:,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720107,26.44,2,2,1,有,無,,1352,51.13,否,,0,0,建築物含有：陽台外推、頂樓加蓋。,無,,,
買賣,中山區,房地(土地+建物),撫順街6-10號(雙號),3.09,,1100308,土地:1建物:1車位:,四層,008,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0711116,20.66,2,1,1,有,無,,1275,61.71,否,,0,0,建築物含有：陽台外推、其他增建。,有,,,
